Acronym|Term
BCG|Bacille Calmette Guerin
BCG|Bacillus Calmette Guerin
BCKAD|Branched Chain Keto Acid Dehydrogenase
BCMA|B Cell Maturation Antigen
BCM|B Cell Maturation
BCPT|Breast Cancer Prevention Trial
BCRP1|Breast Cancer Resistance Protein 1
BCR|Breakpoint Cluster Region
BCTOS|Breast Cancer Treatment Outcomes Scale
BCTOS|Breast Cancer Treatment Outcomes Scale-cosmetic
BDNF|Brain Derived Neurotrophic Factor
BDP1|B Double Prime 1
BEX3|Brain Expressed X-linked 3
BF1|Brain Factor 1
BG8|Blood Group 8
BID|Bh3 Interacting Domain
BIRC3|Baculoviral Iap Repeat Containing 3
BIR|Baculoviral Iap Repeat-containing
BIR|Beta-cell Inward Rectifier
BI|Biosimilar Ibi301
BI|Biosimilar Ibi305
BKLF|Basic Kruppel Like Factor
BLA|Biologic License Application
BLA|Biologics License Application
BLA|Biologics Licensing Application
BLC|B Lymphocyte Chemoattractant
BMD|Bone Mineral Density
BMF|Bcl2 Modifying Factor
BMI|Body Mass Index
BMK1|Big Map Kinase 1
BMP1|Bone Morphogenetic Protein 1
BMP2|Bone Morphogenetic Protein 2
BMP2|Bone Morphogenetic Protein 2a
BMP3|Bone Morphogenetic Protein 3
BMP4|Bone Morphogenetic Protein 4
BMP5|Bone Morphogenetic Protein 5
BMP6|Bone Morphogenetic Protein 6
BMP7|Bone Morphogenetic Protein 7
BMPR|Bone Morphogenetic Protein Receptor
BMP|Bone Morphogenetic Protein
BMP|Bone Morphogenetic Protein-4
BNP|B-type Natriuretic Peptide
BNP|Brain Natriuretic Peptide
BN|Brown Norway
BOG|B5t Overexpressed Gene
BOK|Bcl2-related Ovarian Killer
BOLD|Blood Oxygen Level Dependent
BPAP|Bilevel Positive Airway Pressure
BPAP|Biphasic Positive Airway Pressure
BPH|Benign Prostate Hyperplasia
BPH|Benign Prostatic Hyperplasia
BPH|Benign Prostatic Hypertrophy
BRS|Brief Resilience Scale
BR|B-r Regimen
BR|Bendamustine/idelalisib/rituximab Regimen
BR|Bendamustine/rituximab Regimen
BR|Br Regimen
BSA|Body Surface Area
BSF1|B-cell Stimulatory Factor 1
BSF|Bristol Stool Form
BTF2|Basic Transcription Factor 2
BTG1|B-cell Translocation Gene 1
BTG2|B-cell Translocation Gene 2
BTG|B-cell Translocation Gene
BTK|Bruton Tyrosine Kinase
BTK|Bruton's Tyrosine Kinase
BXD|Banxia Xiexin Decoction
C1R|Component 1, R
C1|C 140
C1|C, 1
C1|C1 130kd
C1|Chemokine 1
C1|Component 1
C1|Containing 1
C2|C, 2
C2|Chemokine 2
C2|Component 2
C2|Containing 2a
C3|Component 3
C4|Card-containing 4
C4|Component 4a
C4|Component 4b
C4|Component 4f
C4|Component 4s
C4|Containing 4
C5|Component 5
C6|Component 6
C7|Component 7
C8A|Component 8 Alpha
C8B|Component 8 Beta
C8B|Component 8, Beta
C8G|Component 8 Gamma
C8G|Component 8, Gamma
C8|Component 8
C9|Component 9
CA1|Carbonic Anhydrase 1
CA2|Carbonic Anhydrase 2
CA3|Carbonic Anhydrase 3
CA8|Carbonic Anhydrase 8
CA9|Carbonic Anhydrase 9
CABG|Coronary Artery Bypass Graft
CAD|Coronary Artery Disease
CAK|Cell Adhesion Kinase
CALM|Cancer And Living Meaningfully
CARS|Concerns About Recurrence Scale
CAR|Chimeric Antigen Receptor
CAS|Coronavirus Anxiety Scale
CAT|Computed Axial Tomography
CAT|Computerized Axial Tomography
CA|Cyclophosphamide And
CBF|Cerebral Blood Flow
CBG|Corticosteroid Binding Globulin
CBL|Casitas B-lineage Lymphoma
CCAP|Cancer Chromosome Aberration Project
CCCH|Clear Cell Cribriform Hyperplasia
CCC|Case Comprehensive Cancer
CCG1|Cell Cycle Gene 1
CCM2|Cerebral Cavernous Malformation 2
CCM2|Cerebral Cavernous Malformations 2
CCN|Cellular Communication Network
CCN|Cyr61, Ctgf, Nov
CCP|Cyclic Citrullinated Peptide
CCQ|Clinical Copd Questionnaire
CCR5|Cc Chemokine Receptor 5
CCR8|Cc Chemokine Receptor 8
CC|C-c Chemokine
CC|C-c Ckr-1
CC|C-c Ckr-10
CC|C-c Ckr-3
CC|C-c Ckr-4
CC|C-c Ckr-5
CC|C-c Ckr-6
CC|C-c Ckr-8
CC|C-c Ckr-9
CC|Cc Chemokine
CC|Cc Chemokine-1
CC|Cell Chemokine
CC|Cell Chemotactic
CC|Cell-attracting Chemokine
CC|Cell-directed Cc
CC|Chemokine Cc-1
CC|Chemokine Cc-1/cc-3
CC|Chemokine Cc-2
CC|Chemokine Cc-3
CC|Chemokine, Cc
CDC2|Cell Division Cycle 2
CDC6|Cell Division Cycle 6
CDC7|Cell Division Cycle 7
CDC7|Cell Division Cycle 7-like
CDC7|Cell Division Cycle 7-related
CDC91|Cell Division Cycle 91-like 1
CDCA7|Cell Division Cycle Associated 7
CDCA8|Cell Division Cycle Associated 8
CDCP1|Cub Domain Containing Protein 1
CDE|Common Data Element
CDISC|Clinical Data Interchange Standards Consortium
CDK2|Cyclin Dependent Kinase 2
CDK4|Cell Division Kinase 4
CDK4|Cyclin Dependent Kinase 4
CDK6|Cyclin Dependent Kinase 6
CDK|Cyclin Dependent Kinase
CDM|Common Data Model
CDR1|Cerebellar Degeneration Related 1
CD|Cell Death
CD|Classification Determinant
CD|Compact Disc-interactive
CD|Complement Decay-accelerating
CEBPA|Ccaat Enhancer Binding Protein Alpha
CEBP|Ccaat Enhancer Binding Protein
CER|Comparative Effectiveness Research
CETP|Cholesteryl Ester Transfer Protein
CFB|Complement Factor B
CFD|Complement Factor D
CFHR1|Complement Factor H Related 1
CFHR5|Complement Factor H Related 5
CFH|Complement Factor H
CFI|Complement Factor I
CFP|Complement Factor Properdin
CGI|Clinical Global Impression
CHF|Congestive Heart Failure
CHI|Consolidated Health Informatics
CHO|Chinese Hamster Ovary
CHUK|Conserved Helix-loop-helix Ubiquitous Kinase
CID|Combined Immune Deficiency
CINCA|Chronic Infantile Neurological Cutaneous And
CIN|Cervical Intraepith. Neoplasia
CIN|Cervical Intraepithelial Neoplasia
CIN|Cervix Intraepithelial Neoplasia
CISD1|Cdgsh Iron Sulfur Domain 1
CISD2|Cdgsh Iron Sulfur Domain 2
CISH|Chromogenic In Situ Hybridization
CK1|Casein Kinase 1
CKB|Creatine Kinase, Brain
CKMM|Creatine Kinase Mm Measurement
CKM|Creatine Kinase, M-type
CKM|Creatine Kinase, Muscle
CK|Creatine Kinase
CLK1|Cdc Like Kinase 1
CLK2|Cdc Like Kinase 2
CLK3|Cdc Like Kinase 3
CLK4|Cdc Like Kinase 4
CLLU1|Chronic Lymphocytic Leukemia Up-regulated 1
CLL|Cell Lymphocytic Leukemia
CLL|Chronic Lymphatic Leukemia
CLL|Chronic Lymphocytic Leukemia
CLL|Chronic Lymphoid Leukemia
CLMF|Cytotoxic Lymphocyte Maturation Factor
CMBB|Comprehensive Minority Biomedical Branch
CMB|Catch My Breath
CMC2|C-x(9)-c Motif Containing 2
CMC2|C-x9-c Motif Containing 2
CMC4|C-x(9)-c Motif Containing 4
CMC4|C-x9-c Motif Containing 4
CML|Chronic Myelocytic Leukemia
CML|Chronic Myelogenous Leukemia
CML|Chronic Myelogenous Leukemias
CML|Chronic Myeloid Leukemia
CMR|Complete Metabolic Response
CMS|Concerned Member State
CNB|Computerized Neurocognitive Battery
CNG|Cyclic Nucleotide Gated
CNS|Central Nervous System
COA|Clinical Outcome Assessment
COMP|Cartilage Oligomeric Matrix Protein
COMP|Cartilage Oligomeric Matrix Protein(pseudoachondroplasia
COPD|Chronic Obstructive Pulmonary Disease
COT|Cancer Osaka Thyroid
CO|Capacity Of
CPAP|Continuous Positive Airway Pressure
CPC|Chromosomal Passenger Complex
CPM|Count Per Million
CPM|Counts Per Million
CPRA|Calculated Panel Reactive Antibody
CPS1|Carbamoyl Phosphate Synthetase 1
CPSQ3|Cerebral Palsy, Spastic Quadriplegic 3
CPS|Control Preference Scale
CPS|Control Preferences Scale
CP|Carboplatin/paclitaxel Plus
CP|Cyclic Propanolamide
CRAM|Compressed Reference-oriented Alignment Map
CRA|Clinical Research Associate
CRBS|Coronavirus Racial Bias Scale
CRC|Clinical Research Coordinator
CRC|Conditionally Reprogrammed Cells
CREB|Camp Responsive Element Binding
CREM|Camp Responsive Element Modulator
CRE|Camp Responsive Element
CRF|Case Record Form
CRF|Case Report Form
CRHR2|Corticotropin Releasing Hormone Receptor 2
CRH|Corticotropin Releasing Hormone
CRLF2|Cytokine Receptor Like Factor 2
CRO|Contract Research Organization
CRTC1|Creb Regulated Transcription Coactivator 1
CRTC2|Creb Regulated Transcription Coactivator 2
CRTC3|Creb Regulated Transcription Coactivator 3
CR|Complete Remission
CR|Complete Response
CSB|Cockayne Syndrome B
CSF1R|Colony Stimulating Factor 1 Receptor
CSF1|Colony Stimulating Factor 1
CSF2|Colony Stimulating Factor 2
CSF3R|Colony Stimulating Factor 3 Receptor
CSF3|Colony Stimulating Factor 3
CSF|Colony Stimulating Factor
CSHL|Cold Spring Harbor Laboratory
CSK|C-terminal Src Kinase
CSK|Carboxyl-terminal Src Kinase
CSR|Clinical Study Report
CSR|Clinical Study Reports
CSV|Comma Separated Values
CTGF|Connective Tissue Growth Factor
CTK|Consensus Tyrosine-lacking Kinase
CTS9|Candidate Tumor Suppressor 9
CT|Computed Tomographic
CT|Computed Tomography
CT|Computerized Tomography
CUI|Concept Unique Identifier
CV|Curriculum Vitae
CWS|Cancer Worry Scale
CW|Cw-type With
DAD|Diffuse Alveolar Damage
DBL|Diffuse B-cell Lymphoma
DBP|Dehydrogenase Bifunctional Protein
DCIS|Ductal Carcinoma In Situ
DCT|Decentralized Clinical Trial
DC|Dendritic Cell
DC|Dendritic Cells
DC|Dendritic Cells/dendritic
DDB|Damage-specific Dna Binding
DDIT3|Dna Damage Inducible Transcript 3
DDR2|Discoidin Domain Receptor 2
DDR2|Discoidin Domain-containing Receptor 2
DDR|Discoidin Domain Receptor
DDR|Discoidin Domain-containing Receptor
DEXA|Dual Energy X-ray Absorptiometric
DEXA|Dual Energy X-ray Absorptiometry
DF|Disoproxil Fumarate
DH|Double Hit
DIBD|Development International Birth Date
DIC|Disseminated Intravascular Coagulation
DIPA|Diagnostic Infant Preschool Assessment
DIPG|Diffuse Intrinsic Pontine Glioma
DIRC3|Disrupted In Renal Carcinoma 3
DM1|Dystrophia Myotonica 1
DMC|Data Monitoring Committee
DMC|Data Monitoring Committee/data
DMF|Drug Master File
DMPK|Dystrophia Myotonia Protein Kinase)
DMPK|Dystrophia Myotonica Protein Kinase
DM|Dm Mouse
DM|Dystrophia Myotonica
DNR|Do Not Resuscitate
DN|Dbl Neg
DN|Double Neg
DN|Double Negative
DN|Dysplastic Nodule
DOD|Department Of Defense
DPF1|Double Phd Fingers 1
DPF2|Double Phd Fingers 2
DPF3|Double Phd Fingers 3
DP|Dbl Pos
DP|Dead-box Protein
DP|Double Positive
DR3|Death Receptor 3
DRG|Dorsal Root Ganglion
DRI|Disease Risk Index
DR|Donor Registration
DSMB|Data Safety Monitoring Board
DTD|Document Type Definition
DTIC|Dimethyl Triazeno Imidazol Carboxamide
DTIC|Dimethyl Triazeno Imidazole Carboxamide
DTR|Diphtheria Toxin Receptor
DUNS|Data Universal Number System
DUNS|Data Universal Numbering System
DVH|Dose Volume Histogram
DVP|Daunorubicin, Vincristine, Prednisone
DVT|Deep Vein Thrombosis
DVT|Deep Venous Thrombosis
E1|Enzyme 1
E2|Ec 2.3.1.168
E2|Ec 2.3.1.61
E2|Ec 2.3.2.-
E2|Ec 2.3.2.23
E2|Ec 2.3.2.24
E3|Ec 3.1.4.53
E3|Ec 3.6.4.-
E3|Enhancer 3
EBF1|Early B-cell Factor 1
EBF4|Early B-cell Factor 4
EBP|Emopamil Binding Protein
EBRT|External Beam Radiation Therapy
EB|E Basic
EC1|Entry Checkpoint 1
ECK|Epithelial Cell Kinase
ECOG|Eastern Cooperative Oncology Group
ECP|Eosinophil Cationic Protein
EC|E2 C
EC|Enzyme C
EDC|Electronic Data Capture
EDR|Electronic Document Room
EED|Embryonic Ectoderm Development
EEK|Eph-and Elk-related Kinase
EGFR|Epidermal Growth Factor Receptor
EGF|Egf-like Growth Factor
EGF|Epidermal Growth Factor
EGF|Epidermal Growth Factor-like
EGF|Epidermal Growth Factor-related
EGR1|Early Growth Response 1
EGR2|Early Growth Response 2
EGR3|Early Growth Response 3
EHF|Ets Homologous Factor
EHK1|Eph Homology Kinase 1
EHK2|Eph Homology Kinase 2
EHR|Electronic Health Record
EHR|Electronic Health Records
EIEE|Early Infantile Epileptic Encephalopathy
EIN|Endometrial Intraepithelial Neoplasia
ELC|Essential Light Chain
ELL|Eleven-nineteen Lysine-rich Leukemia
EMA|European Medicines Agency
EMD|Emery-dreifuss Muscular Dystrophy
EMI|Emergent Metacognition Index
EMK|Elkl Motif Kinase
EMP1|Epithelial Membrane Protein 1
EMP2|Epithelial Membrane Protein 2
EMR|Electronic Medical Record
EMR|Endoscopic Mucosal Resection
EMT|Emergency Medical Technician
EP2|Epididymal Protein 2b
EP2|Epididymis-specific Protein 2
EPA|Environmental Protection Agency
EPDS|Edinburgh Postnatal Depression Scale
ERCC|Excision Repair Cross Complementing-group
ERE|Estrogen Response Element
ERE|Estrogen Response Element-
ERE|Estrogen Response Element-tata
ERF|Ets2 Repressor Factor
ERG|Early Response Gene
ERO1A|Endoplasmic Reticulum Oxidoreductase 1 Alpha
ERO1|Endoplasmic Reticulum Oxidoreductase 1
ERO1|Endoplasmic Reticulum Oxidoreductin 1-like
ERV|Expiratory Reserve Volume
ER|Endoplasmic Reticulum
ER|Estradiol Receptor
ER|Estrogen Receptor
ESAS|Edmonton Symptom Assessment System
ESRP1|Epithelial Splicing Regulatory Protein 1
ESR|Electron Spin Resonance
ESR|Erythrocyte Sedimentation Rate
ETFA|Electron Transfer Flavoprotein Alpha
ETFA|Electron Transfer Flavoprotein, Alpha
ETFB|Electron Transfer Flavoprotein Beta
ETFB|Electron Transfer Flavoprotein, Beta
ETFB|Electron Transferring Flavoprotein, Beta
ETF|Electron Transfer Flavoprotein
ETF|Electron Transfer Flavoprotein-ubiquinone
ETF|Electron Transfer Flavoprotein:ubiquinone
ETK1|Eph-like Tyrosine Kinase 1
ETL|Extraction Transformation Load
ETO|Eight Twenty One
ETP|Endogenous Thrombin Potential
ETS|E26 Transformation Specific
ETS|Ets Transcriptional Suppressor
ETV3|Ets Translocation Variant 3
ETV6|Ets Translocation Variant 6
EUA|Emergency Use Authorization
EVC|Ellis Van Creveld
EVC|Expiratory Vital Capacity
EVI1|Ecotropic Virus Integration 1
EVS|Enterprise Vocabulary Services
EVS|Enterprise Vocabulary System
EZF|Epithelial Zinc Finger
F1|Family 11
FABP1|Fatty Acid Binding Protein 1
FABP2|Fatty Acid Binding Protein 2
FABP3|Fatty Acid Binding Protein 3
FABP4|Fatty Acid Binding Protein 4
FABP5|Fatty Acid Binding Protein 5
FABP6|Fatty Acid Binding Protein 6
FACG|Fanconi Anemia Complementation Group
FAF|Fas Associated Factor
FAP|Fibroblast Activation Protein
FA|Fanconi Anemia
FA|Fanconi Anemia-associated
FEI|Fda Establishment Identifier
FEV|Fifth Ewing Variant
FFAR1|Free Fatty Acid Receptor 1
FFAR4|Free Fatty Acid Receptor 4
FGD|Familial Glucocorticoid Deficiency
FGF1|Fibroblast Growth Factor 1
FGF2|Fibroblast Growth Factor 2
FGF3|Fibroblast Growth Factor 3
FGF4|Fibroblast Growth Factor 4
FGF5|Fibroblast Growth Factor 5
FGF6|Fibroblast Growth Factor 6
FGF7|Fibroblast Growth Factor 7
FGF8|Fibroblast Growth Factor 8
FGF9|Fibroblast Growth Factor 9
FGFR1|Fibroblast Growth Factor Receptor 1
FGFR2|Fibroblast Growth Factor Receptor 2
FGFR3|Fibroblast Growth Factor Receptor 3
FGFR4|Fibroblast Growth Factor Receptor 4
FGFR|Fibroblast Growth Factor Receptor
FGF|Fgf Gene Family
FGF|Fibroblast Growth Factor
FHS|Framingham Heart Study
FH|Fumarate Hydratase
FIQOL|Fecal Incontinence Quality Of Life
FI|Flexibility Index
FLI1|Friend Leukemia Integration 1
FL|Fetal Liver
FL|Follicular Lymphoma
FM|Fm Mouse
FNAST|Finnegan Neonatal Abstinence Score Tool
FNAST|Finnegan's Neonatal Abstinence Scoring Tool
FNA|Fine Needle Aspiration
FND|Follicular Nodular Disease
FOBT|Fecal Occult Blood Test
FPKM|Fragments Per Kilobase Million
FPR1|Formyl Peptide Receptor 1
FRC|Functional Residual Capacity
FREM2|Fras1 Related Extracellular Matrix 2
FRS2|Factor Receptor Substrate 2
FRS3|Factor Receptor Substrate 3
FR|Fr Regimen
FSFI|Female Sexual Function Index
FSG|French Sarcoma Group
FSHB|Follicle Stimulating Hormone, Beta
FSHR|Follicle Stimulating Hormone Receptor
FSH|Follicle Stimulating Hormone
FTP|File Transfer Protocol
FVC|Forced Vital Capacity
G1|G 1
G1|Gap 1
G1|Gene 1
G1|Grade 1
G2|Gap 2
G2|Grade 2
G3|Grade 3
G4|Grade 4
G6PC3|Glucose 6 Phosphatase, Catalytic, 3
GAA|Glucosidase Alpha, Acid
GAA|Glucosidase, Alpha, Acid
GAC|General Adaptive Composite
GAD-7|Generalized Anxiety Disorder - 7
GAG|Group-specific Antigen Gene
GAIP|G Alpha Interacting Protein
GAI|Genetic Annotation Initiative
GAN|Giant Axonal Neuropathy
GAP|Gtpase Activating Protein
GAS7|Growth Arrest Specific 7
GBA|Glucosidase, Beta, Acid
GBA|Glucosidase, Beta; Acid
GBP1|Guanylate Binding Protein 1
GBP2|Guanylate Binding Protein 2
GB|Gb Borderline
GB|Grade B
GCHP|Goblet Cell-rich Hyperplastic Polyp
GCM2|Glial Cells Missing 2
GCM|Glial Cells Missing
GCP|Good Clinical Practice
GCSAM|Germinal Center-associated, Signaling And Motility
GCSS|Genetic Counseling Satisfaction Scale
GCS|Glasgow Coma Scale-ninds
GCT|Germ Cell Tumor
GC|Group-specific Component
GDC|Gdc Data Category
GDF2|Growth Differentiation Factor 2
GDF3|Growth Differentiation Factor 3
GDF5|Growth Differentiation Factor 5
GDF6|Growth Differentiation Factor 6
GDF8|Growth Differentiation Factor 8
GDF9|Growth Differentiation Factor 9
GDI|Gdp Dissociation Inhibitor
GEC|Global Executive Composite
GED|General Equivalency Diploma
GFAP|Glial Fibrillary Acidic Protein
GFI1|Growth Factor Independent 1
GFRA2|Gdnf Family Receptor Alpha 2
GFRA4|Gdnf Family Receptor Alpha 4
GFRAL|Gdnf Family Receptor Alpha Like
GFR|Gdnf Family Receptor
GFR|Glomerular Filtration Rate
GH1|Growth Hormone 1
GHBP|Growth Hormone Binding Protein
GHRH|Growth Hormone Releasing Hormone
GHR|Growth Hormone Receptor
GH|Genital Hiatus
GH|Growth Hormone
GH|Gut-homing Helper
GIPR|Gastric Inhibitory Polypeptide Receptor
GIP|Gastric Inhibitory Polypeptide
GIP|Glucose-dep Insulinotropic Pep
GIP|Glucose-dependent Insulinotropic Peptide
GK|Glycerol Kinase
GLIDE|Guided Lymphocyte Immunopeptide Derived Expansion
GLP1R|Glucagon Like Peptide 1 Receptor
GLP1|Glucagon Like Peptide 1
GLP2R|Glucagon Like Peptide 2 Receptor
GLP2|Glucagon Like Peptide 2
GLP|Good Laboratory Practice
GOP|Gemcitabine, Oxaliplatin, Paclitaxel
GOS|Genomics Outcome Scale
GO|Gene Ontology
GO|Go Ontology
GPA|Graded Prognostic Assessment
GPER1|G Protein-coupled Estrogen Receptor 1
GPI|Generic Product Identifier
GPI|Glucose Phosphate Isomerase
GPPO|Gatekeeper Preferred Provider Organization
GPR2|G Protein-coupled Receptor 2
GPR|G Protein-coupled Receptor
GRAP2|Grb2 Related Adaptor Protein 2
GRH|Gonadotrophin Releasing Hormone
GRIA1|Glutamate Receptor, Ionotropic, Ampa 1
GRIA2|Glutamate Receptor, Ionotropic, Ampa 2
GRIA3|Glutamate Receptor, Ionotrophic, Ampa 3
GRIA3|Glutamate Receptor, Ionotropic, Ampa 3
GRIP1|Glutamate Receptor Interacting Protein 1
GRK5|G-protein-coupled Receptor Kinase 5
GRM1|Glutamate Receptor, Metabotropic 1
GRM1|Glutamate Receptor, Metabotropic, 1
GRM2|Glutamate Receptor, Metabotropic 2
GRM2|Glutamate Receptor, Metabotropic, 2
GRM3|Glutamate Receptor, Metabotropic 3
GRM3|Glutamate Receptor, Metabotropic, 3
GRM4|Glutamate Receptor, Metabotropic 4
GRM5|Glutamate Receptor, Metabotropic 5
GRM6|Glutamate Receptor, Metabotropic 6
GRM7|Glutamate Receptor, Metabotropic 7
GRM7|Glutamate Receptor, Metabotropic, 7
GRM8|Glutamate Receptor, Metabotropic 8
GRM8|Glutamate Receptor, Metabotropic, 8
GRPR|Gastrin Releasing Peptide Receptor
GR|Global Response
GSE|Grape Seed Extract
GSK3A|Glycogen Synthase Kinase 3 Alpha
GSK3B|Glycogen Synthase Kinase 3 Beta
GST|Glutathione S-transferase Theta
GST|Glutathione S-transferase Theta-1
GST|Glutathione S-transferase Theta-2
GS|Genomic Scar
GS|Gs Score
GTF|Gene Transfer File
GTF|Gene Transfer Format
GTT|Gestational Trophoblastic Tumor
GUDID|Global Unique Device Identification Database
GVHD|Graft Versus Host Disease
GX|Grade X
H1|Histone 1
H3|Histone 3
H3|Homolog 3
H4|Histone 4
H4|Homolog 4
H6|Homolog 6
HAI|Hepatic Artery Infusion
HAL|Haemophilia Activities List
HAL|Hemophilia Activities List
HARP|Hypoprebetalipoproteinemia, Acanthocytosis, Retinitis Pigmentosa
HA|Hyaluronic Acid
HBV|Hepatitis B Virus
HCCQ|Health Care Climate Questionnaire
HCK|Hemopoietic Cell Kinase
HCMI|Human Cancer Models Initiative
HCV|Hepatitis C Virus
HDE|Humanitarian Device Exemption
HDL|High Density Lipoprotein
HD|Hd Domain
HD|Hd Domain-containing
HEK|Human Embryo Kinase
HER2|Human Egf Receptor 2
